Method of Travel,Jan 2019,Jan 2020,Jan % change,Jan~Jan 2019, Jan~Jan 2020, Jan~Jan % change
Trips by non-residents,1492214,1567317,5.0,1492214,1567317,5.0
United States Residents,1140166,1201690,5.4,1140166,1201690,5.4
Automobile,806611,867218,7.5,806611,867218,7.5
Same Day,496829,522752,5.2,496829,522752,5.2
One or more nights,309782,344466,11.2,309782,344466,11.2
Plane,281378,283023,0.6,281378,283023,0.6
Bus,39128,37181,-5.0,39128,37181,-5.0
"Train, boat and other methods",13049,14268,9.3,13049,14268,9.3
All other countries residents,352048,365627,3.9,352048,365627,3.9
Direct,245163,261498,6.7,245163,261498,6.7
Via the United States4,106885,104129,-2.6,106885,104129,-2.6
Trips by residents of Canada3,4356374,4430895,1.7,4356374,4430895,1.7
Returning from the United States,3035434,3069835,1.1,3035434,3069835,1.1
Automobile,2063363,2065642,0.1,2063363,2065642,0.1
Same day,1435823,1443415,0.5,1435823,1443415,0.5
One or more nights,627540,622227,-0.8,627540,622227,-0.8
Plane,904756,936866,3.5,904756,936866,3.5
Bus,52338,53488,2.2,52338,53488,2.2
"Train, boat and other methods",14977,13839,-7.6,14977,13839,-7.6
Returning from other countries,1320940,1361060,3.0,1320940,1361060,3.0
Direct,1217950,1271242,4.4,1217950,1271242,4.4
Via the United States,102990,89818,-12.8,102990,89818,-12.8
Total3,5848588,5998212,2.6,5848588,5998212,2.6
